,,Original circuit,,,Peephole,,,Peephole + LP,,,Qiskit,
Circuit,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T
ghz_nativegates_ibm_qiskit_opt0_16.qasm,93,15,15.6,88,15,15,88,15,15,60,15,13.5
ghz_nativegates_ibm_qiskit_opt0_17.qasm,99,16,16.6,94,16,16,94,16,16,64,16,14.4
ghz_nativegates_ibm_qiskit_opt0_18.qasm,105,17,17.6,100,17,17,100,17,17,68,17,15.3
ghz_nativegates_ibm_qiskit_opt0_19.qasm,111,18,18.6,106,18,18,106,18,18,72,18,16.2
ghz_nativegates_ibm_qiskit_opt0_20.qasm,117,19,19.6,112,19,19,112,19,19,76,19,17.1
ghz_nativegates_ibm_qiskit_opt0_21.qasm,123,20,20.6,118,20,20,118,20,20,80,20,17.9
ghz_nativegates_ibm_qiskit_opt0_22.qasm,129,21,21.6,124,21,21,124,21,21,84,21,18.8
ghz_nativegates_ibm_qiskit_opt0_23.qasm,135,22,22.6,130,22,22,130,22,22,88,22,19.7
ghz_nativegates_ibm_qiskit_opt0_24.qasm,141,23,23.6,136,23,23,136,23,23,92,23,20.6
ghz_nativegates_ibm_qiskit_opt0_25.qasm,147,24,24.6,142,24,24,142,24,24,96,24,21.5
graphstate_nativegates_ibm_qiskit_opt0_3.qasm,45,3,4.5,9,1,1,9,1,1,15,3,2.9
graphstate_nativegates_ibm_qiskit_opt0_4.qasm,60,4,5.9,12,1,1,12,1,1,18,4,3.8
graphstate_nativegates_ibm_qiskit_opt0_5.qasm,75,5,7.3,15,1,1,15,1,1,22,5,4.7
graphstate_nativegates_ibm_qiskit_opt0_6.qasm,90,6,8.7,18,1,1,18,1,1,30,6,5.6
graphstate_nativegates_ibm_qiskit_opt0_7.qasm,105,7,10,21,1,1,21,1,1,33,7,6.5
graphstate_nativegates_ibm_qiskit_opt0_8.qasm,120,8,11.4,24,1,1,24,1,1,37,8,7.4
graphstate_nativegates_ibm_qiskit_opt0_9.qasm,135,9,12.6,27,1,1,27,1,1,39,9,8.2
graphstate_nativegates_ibm_qiskit_opt0_10.qasm,150,10,14.1,30,1,1,30,1,1,43,10,9.1
graphstate_nativegates_ibm_qiskit_opt0_11.qasm,165,11,15.3,33,1,1,33,1,1,40,11,10
graphstate_nativegates_ibm_qiskit_opt0_12.qasm,180,12,16.9,36,1,1,36,1,1,55,12,10.9
graphstate_nativegates_ibm_qiskit_opt0_13.qasm,195,13,18.2,39,1,1,39,1,1,63,13,11.8
graphstate_nativegates_ibm_qiskit_opt0_14.qasm,210,14,19.5,42,1,1,42,1,1,66,14,12.7
graphstate_nativegates_ibm_qiskit_opt0_15.qasm,225,15,20.9,45,1,1,45,1,1,64,15,13.6
graphstate_nativegates_ibm_qiskit_opt0_16.qasm,240,16,22.2,48,1,1,48,1,1,72,16,14.5
graphstate_nativegates_ibm_qiskit_opt0_17.qasm,255,17,23.6,51,1,1,51,1,1,71,17,15.4
graphstate_nativegates_ibm_qiskit_opt0_18.qasm,270,18,25,54,1,1,54,1,1,74,18,16.3
graphstate_nativegates_ibm_qiskit_opt0_19.qasm,285,19,26.2,57,1,1,57,1,1,81,19,17.2
graphstate_nativegates_ibm_qiskit_opt0_20.qasm,300,20,27.6,60,1,1,60,1,1,85,20,18.1
graphstate_nativegates_ibm_qiskit_opt0_21.qasm,315,21,28.9,63,1,1,63,1,1,82,21,19
graphstate_nativegates_ibm_qiskit_opt0_22.qasm,330,22,30.3,66,1,1,66,1,1,96,22,19.8
graphstate_nativegates_ibm_qiskit_opt0_23.qasm,345,23,31.7,69,1,1,69,1,1,95,23,20.7
graphstate_nativegates_ibm_qiskit_opt0_24.qasm,360,24,33.1,72,1,1,72,1,1,103,24,21.6
graphstate_nativegates_ibm_qiskit_opt0_25.qasm,375,25,34.7,75,1,1,75,1,1,104,25,22.5
grover-noancilla_nativegates_ibm_qiskit_opt0_2.qasm,4,0,0.3,3,0,0.2,3,0,0.2,4,0,0.3
grover-noancilla_nativegates_ibm_qiskit_opt0_3.qasm,92,9,12.6,41,7,7,41,7,7,45,9,8.8
